id,datetime,headline,body,image,category,alt_headline,alt_body,comments
5,50:17.0,Sunrise @Munnar,,20120311175017_dsc_0147.jpg,,,,A
4,48:03.0,where the green meets blue,Shot at Anayirankal Dam which is surrounded by the Tata Tea Plantations and evergreen forests.,20120311174803_dsc_0004.jpg,,,,A
6,51:59.0,Church,,20120311175159_dsc_0184.jpg,,,,A
7,39:09.0,Typical Kerala Village,Random shot taken on the way to Alleppey,20120312043909_dsc_0227.jpg,,,,A
8,40:23.0,On top of the mist,,20120312044023_dsc_0198.jpg,,,,A
9,41:24.0,Yellow Beauty,,20120312044124_dsc01193.jpg,,,,A
10,42:23.0,Fear is the highest fence. ~ Nichols,,20120312044223_dsc01209.jpg,,,,A
11,46:18.0,"If you truly love Nature, you will find beauty everywhere. ~Vincent Van Gogh",,20120312044618_dsc01266.jpg,,,,A
53,44:58.0,Rameswaram Island,A view of Rameswaram Island from Pamban bridge.,20120914044458_dsc_3605-2.jpg,,,,A
13,48:57.0,Sunset,,20120312044857_dsc01796.jpg,,,,A
14,49:49.0,Waiting,,20120312044949_dsc02556.jpg,,,,A
15,52:24.0,The power,,20120312045224_dsc02234.jpg,2,,,A
16,02:27.0,Beauty and the Bee,,20120312050227_esc_0001 (96).jpg,,,,A
17,03:18.0,There's nothing like a mom's hug.,,20120312050318_dsc01949.jpg,,,,A
18,09:49.0,Colors,"Shot at shilpakala vedika, hyderabad",20120313190949_phtography.jpg,,,,A
19,11:20.0,Peace comes from within. Do not seek it without. ~ Buddha,"Shot at Hussein Sagar Lake, hyderabad",20120313191120_dsc_0307.jpg,,,,A
20,12:50.0,Sunrise,"Clicked this pic at random place on the way to Munnar, Kerala.",20120314191250_dsc_0167-2.jpg,,,,A
23,23:22.0,Foggy Morning,,20120317182322_dsc_0152.jpg,,,,A
24,52:02.0,Vacation,"This is a riverside island resort at Alleppey, Kerala. Located in banks of river Pookitha, branch of Holy River Pampa.",20120318055202_dsc_0353.jpg,,,,A
25,07:05.0,Ridge,Tea Planatation and cultivation is one of the major business in Kerala. Many tea estates provides accommodation in the tea plantation estates in Kerala.,20120318060705_dsc01767-2.jpg,,,,A
27,36:53.0,"Mother holds your hand for a while, but holds your heart forever.","Shot at Aurora Beach, Pondicherry.",20120325063653_dsc_0367.jpg,,,,A
28,54:31.0,Together... Forever...,,20120328025431_dsc_0062.jpg,,,,A
29,32:01.0,Into the sea,,20120329183201_dsc_0083-2.jpg,,,,A
30,59:14.0,Shell,,20120331165914_dsc_0063.jpg,,,,A
31,13:33.0,"Hope is like the sun, which, as we journey toward it, casts the shadow of our burden behind us. ~ Samuel Smiles",Shot at a random beach in Pondi...,20120401051333_dsc_0074.jpg,,,,A
32,47:48.0,Never ending journey,A kerala parents dropping of their children to school...,20120403184748_dsc_0197.jpg,,,,A
33,58:16.0,Smile Please...,"Shot this eemu bird at SV Veterinary University, Tirupathi. ",20120411025816_dsc_0154.jpg,,,,A
34,27:35.0,Glory,"Clicked this pic at musical fountain in Tirumala, Tirupathi. Tirumala is a pilgrim center of Hindus. Popularly known as Sri Venkateswara Temple. One of the richest pilgrimage centers in the world.<br /><br/>\r\nYou can see the golden temple behind the wall. Also got full moon.",20120411182735_dsc_0398.jpg,,,,A
35,57:13.0,RiverSide,,20120420185713_dsc_03582.jpg,,,,A
36,32:23.0,New Day... New Life...,,20120422183223_dsc_0163.jpg,,,,A
37,23:37.0,Follow your dreams...,,20120424052337_dsc_0058.jpg,,,,A
38,14:16.0,Pride of Hyderabad,"Clicked this pic at charminar, Hyderabad. ",20120507051416_dsc_0006-2.jpg,,,,A
39,41:25.0,Smiles,"Everytime you smile at someone, it is an action of love, a gift to that person, a beautiful thing. ~Mother Teresa",20120527184125_dsc_0015-1-4.jpg,,,,A
40,24:57.0,Photographer,In the process of making photographs. <br/>\r\nwith <a href='http://500px.com/thehappysurd' target='_blank'>Prakash</a>,20120623142457_dsc_0095-2.jpg,,,,A
43,46:47.0,Kerala Memories,"Shot at Alleppy, Kerala",20120625174647_dsc_0187.jpg,,,,A
44,18:43.0,House of worship,Clicked this pic @ Sacred Heart Church in Pondicherry.,20120809051843_dsc_0046.jpg,,,,A
46,33:23.0,Innoncence,,20120821183323_innoncence.jpg,,,,A
47,31:05.0,Green,"Clicked this picture at random place in Kanyakumari, Tamilnadu.",20120823173105_dsc_3927.jpg,,,,A
48,39:42.0,OM,"Clicked this snap @ Vivekananda Rock, Kanyakumari",20120828043942_dsc_0006 (3).jpg,,,,A
50,32:06.0,"Pamban Bridge, Rameswaram, TN.","The Pamban Bridge is a cantilever railway bridge connects Rameswaram on Pamban Island to mainland India. It was India's first sea bridge. It is the second longest sea bridge in India (after Bandra-Worli Sea Link) at a length of about 2.3 km.<br/><br/>\r\nThe railway bridge is 6,776 ft (2,065 m)[1] and was opened for traffic in 1914. The railroad bridge is a still-functioning double-leaf bascule bridge section that can be raised to let ships pass under the bridge.",20120831043206_dsc_3597.jpg,,,,A
52,44:54.0,Dancing,"This pic was taken on my way back to Kanyakumari. It was raining heavily at that time and this little kid is dancing inside the car and saying something without actually saying it.<br />\r\nOn another note, We missed the sunset because of a sudden rain in Kanyakumari. Avoid trip to Kanyakumari during rainy season as you might miss beautiful Sunrise/Sunsets.",20120908074454_dsc_0396-4.jpg,,,,A
26,59:29.0,Ugadi Pachhadi,"Yugadi or Ugadi or 'Samvatsradi' is the New Year's Day for the people of the Deccan region of India. The name Yugadi or Ugadi is derived from the name \\\""Yuga Adi\\\"", which means 'the beginning of a new age'. The Saka calendar begins with the month of Chaitra (Marchƒ??April) and Ugadi marks the first day of the new year. Chaitra is the first month in Panchanga which is the Indian calendar.\r\n\r\nThe eating of a specific mixture of six tastes called Ugadi Pachhadi in Telugu symbolizes the fact that life is a mixture of different experiences (sadness, happiness, anger, fear, disgust, surprise) , which should be accepted together and with equanimity through the New Year.\r\n\r\nThe special mixture consists of:\r\n\r\n    Neem Buds/Flowers for its bitterness, signifying Sadness\r\n    Jaggery and ripe banana pieces for sweetness, signifying Happiness\r\n    Green Chilli/Pepper for its hot taste, signifying Anger\r\n    Salt for saltiness, signifying Fear\r\n    Tamarind Juice for its sourness, signifying Disgust\r\n    Unripened Mango for its tang, signifying Surprise\r\n",20120323055929_dsc_0022.jpg,,,,A
49,30:16.0,"Vivekananda Rock, Kanyakumari","Vivekananda Rock Memorial is a sacred monument and popular tourist attraction in Vavathurai, Kanyakumari, India. The memorial stands on one of two rocks located about 500 meters off mainland of Vavathurai, India's southernmost tip.\r\n<br/>\r\nShot this pic very early morning (~5AM) with long exposure (10 seconds).\r\n<br/><br/>\r\n<a href='http://33snaps.com/images/Extra/Sunrise1.jpg' target='_blank'>Here</a> is the sunrise.",20120828193016_dsc_4144-2.jpg,,,,A
51,44:17.0,"Meenakshi Temple, Madurai, TN.","Meenakshi Temple is a historic Hindu temple located in the south side of river Vaigai in the temple city of Madurai, Tamil Nadu, India. It is dedicated to Parvati who is known as Meenakshi and her consort, Shiva, named here as Sundareswarar (beautiful deity). The temple forms the heart and lifeline of the 2500 year old city of Madurai. The complex houses 14 gopurams (gateway towers) ranging from 45-50m in height, the tallest being the southern tower, 51.9 metres (170 ft) high, and two golden sculptured vimana (shrine) over sanctum of the main deities. The temple is a significant symbol for the Tamil people, and has been mentioned since antiquity in Tamil literature, though the present structure is built during 1623 to 1655 CE The temple attracts 15,000 visitors a day, around 25,000 during Fridays and gets an annual revenue of sixty million INR. There is an estimated 33,000 sculptures in the temple and it was in the list of top 30 nominees of the 'New Seven Wonders of the World'. The annual 10 day Meenakshi Tirukalyanam festival celebrated during Aprilƒ??May attracts 1 million visitors. <br /><br />\r\nSource: <a href='http://en.wikipedia.org/wiki/Meenakshi_Amman_Temple' target='_blank'>Wikipedia</a>",20120902074417_dsc_3386-2.jpg,,,,A
